Date;Prec;Temp;IRA;IRI;Q;Flow
2011-03-16;0.0;22.42;0.0;0.0;0.4621050238690612;4.5738
2011-03-17;1.5;23.88;0.0;0.0;0.3064837968225101;3.0335
2011-03-18;5.55;21.36;0.0;0.0;0.2038847212750373;2.018
2011-03-19;0.0;19.56;0.0;0.0;0.18274860448081634;1.8088
2011-03-20;0.0;20.12;0.0;0.0;0.1631077770200298;1.6144
2011-03-21;0.0;22.54;0.0;0.0;0.1363138086938951;1.3492
2011-03-22;0.0;26.08;0.0;0.0;0.09837589351115153;0.9737
2011-03-23;0.0;26.96;0.0;0.0;0.0681164911217196;0.6742
2011-03-24;4.5;23.72;0.0;0.0;0.05330504407567376;0.5276
2011-03-25;9.55;22.12;0.0;0.0;0.04077694425500745;0.4036
2011-03-26;25.65;22.04;0.0;0.0;3.3391730443787737;33.0503
2011-03-27;18.35;20.08;0.0;0.0;3.637937915182743;36.0074
2011-03-28;63.4;19.32;0.0;0.0;10.129473870324064;100.259
2011-03-29;14.95;19.98;0.0;0.0;9.58184435856634;94.8387
2011-03-30;0.0;22.28;0.0;0.0;4.590528150337197;45.4359
2011-03-31;0.0;22.52;0.0;0.0;2.9267863908464045;28.9686
2011-04-01;0.0;22.12;0.0;0.0;1.9775908666110984;19.5737
2011-04-02;0.0;21.54;0.0;0.0;1.4606248894950873;14.4569
2011-04-03;0.0;20.94;0.0;0.0;0.935414614432573;9.2585
2011-04-04;0.0;20.78;0.0;0.0;0.7918466318102599;7.8375
2011-04-05;1.4;18.46;0.0;0.0;0.6379631734485111;6.3144
2011-04-06;0.0;18.16;0.0;0.0;3.5811876436563868;35.4457
2011-04-07;0.0;18.58;0.0;0.0;1.064757141774646;10.5387
2011-04-08;0.0;21.44;0.0;0.0;0.7918466318102599;7.8375
2011-04-09;13.15;19.3;0.0;0.0;0.6379631734485111;6.3144
2011-04-10;0.0;20.5;0.0;0.0;0.4455962213634413;4.4104
2011-04-11;0.0;20.34;0.0;0.0;0.32106286782349525;3.1778
2011-04-12;0.0;20.98;0.0;0.0;0.193134803364401;1.9116
2011-04-13;4.9;23.54;0.0;0.0;0.12015862190901973;1.1893
2011-04-14;62.25;20.4;0.0;0.0;7.243161324543457;71.691
2011-04-15;75.44999999999997;20.8;0.0;0.0;18.711424313606628;185.201
2011-04-16;1.300000000000003;18.04;0.0;0.0;6.950599883811978;68.7953
2011-04-17;7.25;21.4;0.0;0.0;3.7141269480437473;36.7615
2011-04-18;2.75;18.36;0.0;0.0;3.3575711651637996;33.2324
2011-04-19;0.0;17.08;0.0;0.0;3.014695259023516;29.8387
2011-04-20;0.0;20.78;0.0;0.0;2.535141825162284;25.0922
2011-04-21;3.4;20.26;0.0;0.0;1.8169988128615089;17.9842
2011-04-22;0.0;21.38;0.0;0.0;1.292536182465712;12.7932
2011-04-23;15.95;18.04;0.0;0.0;15.502816296633064;153.44299999999996
2011-04-24;0.0;13.38;0.0;0.0;7.892430097749489;78.1173
2011-04-25;0.0;14.08;0.0;0.0;4.183536662372762;41.4076
2011-04-26;0.0;15.38;0.0;0.0;3.3391730443787737;33.0503
2011-04-27;0.0;18.18;0.0;0.0;2.7710237175115555;27.4269
2011-04-28;0.0;20.1;0.0;0.0;2.9442853173701096;29.1418
2011-04-29;0.0;19.6;0.0;0.0;2.9267863908464045;28.9686
2011-04-30;0.0;18.56;0.0;0.0;2.5850218483998892;25.5859
2011-05-01;1.3;16.24;0.0;0.0;2.3392892324013035;23.1537
2011-05-02;0.55;13.46;0.0;0.0;1.7125104190346292;16.95
2011-05-03;2.4;12.34;0.0;0.0;1.2457881841832743;12.3305
2011-05-04;0.0;13.84;0.0;0.0;0.935414614432573;9.2585
2011-05-05;0.0;15.78;0.0;0.0;0.7720037382233336;7.6411
2011-05-06;0.0;16.48;0.0;0.0;0.6379631734485111;6.3144
2011-05-07;0.0;15.34;0.0;0.0;0.4621050238690612;4.5738
2011-05-08;0.0;16.82;0.0;0.0;0.36614382056528;3.624
2011-05-09;0.25;15.62;0.0;0.0;0.32106286782349525;3.1778
2011-05-10;0.0;16.3;0.0;0.0;0.27802278295572225;2.7518
2011-05-11;7.15;18.78;0.0;0.0;0.2508347856836149;2.4827
2011-05-12;1.2500000000000004;17.88;0.0;0.0;0.2265666439342275;2.2425
2011-05-13;0.0;16.42;0.0;0.0;0.2038847212750373;2.018
2011-05-14;0.0;15.02;0.0;0.0;0.18274860448081634;1.8088
2011-05-15;1.75;15.54;0.0;0.0;0.1631077770200298;1.6144
2011-05-16;2.35;13.66;0.0;0.0;0.14489151574852868;1.4341
2011-05-17;0.0;13.2;0.0;0.0;0.2508347856836149;2.4827
2011-05-18;0.0;14.9;0.0;0.0;0.2265666439342275;2.2425
2011-05-19;0.0;14.7;0.0;0.0;0.2038847212750373;2.018
2011-05-20;0.0;16.98;0.0;0.0;0.2038847212750373;2.018
2011-05-21;0.0;17.18;0.0;0.0;0.193134803364401;1.9116
2011-05-22;0.0;21.86;0.0;0.0;0.1631077770200298;1.6144
2011-05-23;19.85;19.12;0.0;0.0;0.6195347427445633;6.1320000000000014
2011-05-24;1.0;17.34;0.0;0.0;0.4957288272587205;4.9066
2011-05-25;0.0;20.2;0.0;0.0;0.4131848147306206;4.0896
2011-05-26;0.0;14.72;0.0;0.0;0.36614382056528;3.624
2011-05-27;0.0;13.44;0.0;0.0;0.3358642115632341;3.3243
2011-05-28;0.0;11.36;0.0;0.0;0.3064837968225101;3.0335
2011-05-29;0.0;10.62;0.0;0.0;0.27802278295572225;2.7518
2011-05-30;0.0;11.18;0.0;0.0;0.2508347856836149;2.4827
2011-05-31;0.2;13.94;0.0;0.0;0.2265666439342275;2.2425
2011-06-01;0.0;11.56;0.0;0.0;0.21502866813164606;2.1283
2011-06-02;0.0;11.7;0.0;0.0;0.193134803364401;1.9116
2011-06-03;0.0;15.02;0.0;0.0;0.1631077770200298;1.6144
2011-06-04;0.0;6.46;0.0;0.0;0.1280695107473921;1.2676
2011-06-05;0.0;6.36;0.0;0.0;0.11258114217877804;1.1143
2011-06-06;0.0;14.26;0.0;0.0;0.08539314490667071;0.8452
2011-06-07;7.75;12.92;0.0;0.0;1.896713899623652;18.7732
2011-06-08;37.35;11.7;0.0;0.0;2.7368442322750117;27.0886
2011-06-09;0.0;10.1;0.0;0.0;1.292536182465712;12.7932
2011-06-10;0.0;11.42;0.0;0.0;0.7720037382233336;7.6411
2011-06-11;0.0;11.66;0.0;0.0;0.6565835669722918;6.4987
2011-06-12;0.0;15.3;0.0;0.0;0.5476497183703367;5.4205
2011-06-13;0.0;13.12;0.0;0.0;0.4621050238690612;4.5738
2011-06-14;0.0;11.64;0.0;0.0;0.3816119825212801;3.7771
2011-06-15;0.0;16.94;0.0;0.0;0.3358642115632341;3.3243
2011-06-16;0.0;21.1;0.0;0.0;0.3064837968225101;3.0335
2011-06-17;0.0;16.96;0.0;0.0;0.4455962213634413;4.4104
2011-06-18;29.6;17.56;0.0;0.0;1.0428127604758657;10.3215
2011-06-19;0.0;21.62;0.0;0.0;0.9778990174534616;9.679
2011-06-20;0.0;20.12;0.0;0.0;0.8935768230153318;8.8444
2011-06-21;23.35;16.52;0.0;0.0;5.09739082114622;50.4527
2011-06-22;10.3;16.42;0.0;0.0;4.203551312166906;41.6057
2011-06-23;16.95;16.88;0.0;0.0;3.790891869364248;37.5213
2011-06-24;5.15;11.04;0.0;0.0;5.5126367103634655;54.5627
2011-06-25;7.15;11.74;0.0;0.0;4.926230708999519;48.7586
2011-06-26;0.15000000000000036;8.6;0.0;0.0;4.2235962718799716;41.8041
2011-06-27;0.85;6.78;0.0;0.0;3.121467000075775;30.8955
2011-06-28;0.0;7.54;0.0;0.0;2.4201763026950567;23.9543
2011-06-29;0.0;10.32;0.0;0.0;1.61013361622591;15.9367
2011-06-30;0.0;11.4;0.0;0.0;1.3161172993862242;13.0266
2011-07-01;5.6;9.56;0.0;0.0;1.2226415094339622;12.1014
2011-07-02;7.85;6.8;0.0;0.0;1.4118966431764794;13.9746
2011-07-03;0.6000000000000001;5.6;0.0;0.0;1.3637240787047562;13.4978
2011-07-04;0.0;3.48;0.0;0.0;1.0210199287716906;10.1058
2011-07-05;0.0;4.16;0.0;0.0;0.8729054583112322;8.6398
2011-07-06;0.0;5.32;0.0;0.0;0.7720037382233336;7.6411
2011-07-07;0.0;5.36;0.0;0.0;0.6943497259478164;6.8725
2011-07-08;0.0;7.4;0.0;0.0;0.5301507918466318;5.2473
2011-07-09;0.0;10.88;0.0;0.0;0.4957288272587205;4.9066
2011-07-10;0.0;11.48;0.0;0.0;0.478815892500821;4.7392
2011-07-11;0.5;13.08;0.0;0.0;0.4131848147306206;4.0896
2011-07-12;0.0;16.48;0.0;0.0;0.39729231390972697;3.9323
2011-07-13;12.3;17.24;0.0;0.0;0.4455962213634413;4.4104
2011-07-14;18.450000000000006;14.96;0.0;0.0;2.323235078679498;22.9948
2011-07-15;25.9;22.84;0.0;0.0;5.227208203884722;51.7376
2011-07-16;0.0;19.96;0.0;0.0;3.4500871410168976;34.1481
2011-07-17;1.75;14.04;0.0;0.0;2.6017327170316484;25.7513
2011-07-18;2.95;14.16;0.0;0.0;2.4039099795408045;23.7933
2011-07-19;1.2000000000000002;15.72;0.0;0.0;2.3392892324013035;23.1537
2011-07-20;12.15;12.6;0.0;0.0;2.7198100578414293;26.92
2011-07-21;82.3;10.32;0.0;0.0;20.940718850243734;207.266
2011-07-22;0.0;10.8;0.0;0.0;8.931595564648532;88.4027
2011-07-23;0.15;12.24;0.0;0.0;4.243681644818266;42.0029
2011-07-24;0.0;14.92;0.0;0.0;3.085721502361648;30.5417
2011-07-25;0.0;21.56;0.0;0.0;2.5185926094314364;24.9284
2011-07-26;0.0;14.48;0.0;0.0;2.387694172918088;23.6328
2011-07-27;7.0;13.88;0.0;0.0;2.6017327170316484;25.7513
2011-07-28;42.7;17.04;0.0;0.0;8.746270617059432;86.5684
2011-07-29;15.15;15.72;0.0;0.0;10.157358995731354;100.535
2011-07-30;35.65;12.44;0.0;0.0;19.2413427294082;190.446
2011-07-31;7.35;9.32;0.0;0.0;7.665317875274682;75.8694
2011-08-01;2.5;12.4;0.0;0.0;4.611250031572834;45.64100000000001
2011-08-02;24.85;8.8;0.0;0.0;6.830037129650679;67.602
2011-08-03;8.3;10.76;0.0;0.0;5.9627996261776675;59.0183
2011-08-04;0.7;7.84;0.0;0.0;4.7153747063726605;46.6716
2011-08-05;0.0;9.08;0.0;0.0;3.5811876436563868;35.4457
2011-08-06;0.0;12.76;0.0;0.0;2.70282639993938;26.7519
2011-08-07;1.8;16.6;0.0;0.0;1.8700108610542805;18.5089
2011-08-08;40.8;19.04;0.0;0.0;8.458013184814732;83.7153
2011-08-09;94.2;16.76;0.0;0.0;21.01922154024905;208.043
2011-08-10;3.5;16.48;0.0;0.0;12.579929782021164;124.513
2011-08-11;0.0;19.48;0.0;0.0;5.557060948195296;55.0024
2011-08-12;0.0;24.92;0.0;0.0;4.968816145083479;49.1801
2011-08-13;0.0;19.68;0.0;0.0;3.946209997221592;39.0586
2011-08-14;10.8;13.12;0.0;0.0;2.97941451339951;29.4895
2011-08-15;7.75;18.72;0.0;0.0;2.7710237175115555;27.4269
2011-08-16;0.0;24.4;0.0;0.0;2.4364729357682307;24.1156
2011-08-17;0.0;16.76;0.0;0.0;1.8169988128615089;17.9842
2011-08-18;0.0;14.64;0.0;0.0;1.4118966431764794;13.9746
2011-08-19;10.55;13.64;0.0;0.0;1.2690864085271905;12.5611
2011-08-20;2.2;7.52;0.0;0.0;1.1540804728347354;11.4228
2011-08-21;0.0;5.68;0.0;0.0;1.1091106564623274;10.9777
2011-08-22;0.0;6.96;0.0;0.0;1.064757141774646;10.5387
2011-08-23;3.9;10.72;0.0;0.0;1.0428127604758657;10.3215
2011-08-24;0.8500000000000001;15.4;0.0;0.0;1.0210199287716906;10.1058
2011-08-25;4.9;15.32;0.0;0.0;0.9778990174534616;9.679
2011-08-26;2.15;11.84;0.0;0.0;0.956581041145715;9.468
2011-08-27;0.0;16.68;0.0;0.0;0.9144199439266502;9.0507
2011-08-28;13.1;18.2;0.0;0.0;0.8729054583112322;8.6398
2011-08-29;18.85;13.6;0.0;0.0;6.285741708974262;62.2147
2011-08-30;14.15;13.88;0.0;0.0;7.14513904675305;70.7208
2011-08-31;0.15000000000000036;10.56;0.0;0.0;4.243681644818266;42.0029
2011-09-01;0.0;9.44;0.0;0.0;3.1035740446060966;30.7184
2011-09-02;0.0;11.28;0.0;0.0;2.4201763026950567;23.9543
2011-09-03;0.0;16.32;0.0;0.0;1.9775908666110984;19.5737
2011-09-04;0.0;26.64;0.0;0.0;1.764491929984087;17.4645
2011-09-05;13.35;14.88;0.0;0.0;2.618473895582329;25.917
2011-09-06;12.95;10.72;0.0;0.0;2.7368442322750117;27.0886
2011-09-07;0.0;13.92;0.0;0.0;2.3715187795205983;23.4727
2011-09-08;4.0;14.76;0.0;0.0;1.7125104190346292;16.95
2011-09-09;21.05;14.52;0.0;0.0;2.9093177742416207;28.7957
2011-09-10;0.09999999999999963;16.08;0.0;0.0;3.1934227475941497;31.6077
2011-09-11;0.0;12.6;0.0;0.0;2.6520976989719887;26.2498
2011-09-12;0.0;15.0;0.0;0.0;1.9235482811750144;19.0388
2011-09-13;0.0;15.6;0.0;0.0;1.4606248894950873;14.4569
2011-09-14;0.0;13.68;0.0;0.0;1.1315197898512288;11.1995
2011-09-15;0.0;16.72;0.0;0.0;0.8935768230153318;8.8444
2011-09-16;0.0;20.08;0.0;0.0;0.7523326008436261;7.4464
2011-09-17;0.0;20.56;0.0;0.0;0.6943497259478164;6.8725
2011-09-18;0.15;18.88;0.0;0.0;0.6012780682478341;5.9513
2011-09-19;0.4500000000000001;17.36;0.0;0.0;0.5653406077138744;5.5956
2011-09-20;38.0;15.04;0.0;0.0;1.63553332828168;16.1881
2011-09-21;0.15000000000000036;14.48;0.0;0.0;1.436195094844788;14.2151
2011-09-22;0.0;17.72;0.0;0.0;1.0428127604758657;10.3215
2011-09-23;0.2;15.72;0.0;0.0;0.9144199439266502;9.0507
2011-09-24;8.5;16.12;0.0;0.0;0.8523856432017379;8.4367
2011-09-25;0.0;18.08;0.0;0.0;0.7720037382233336;7.6411
2011-09-26;0.0;19.44;0.0;0.0;0.7135055947058675;7.0621
2011-09-27;0.0;18.6;0.0;0.0;0.6195347427445633;6.1320000000000014
